19047,1,was,2015-04-10,150,201500061,4,phi,7:07 PM,"57 degrees, cloudy"
46678,8,bos,2015-04-11,193,201500062,4,nya,1:08 PM,"55 degrees, partly cloudy"
43812,9,chn,2015-04-11,199,201500063,5,col,6:12 PM,"67 degrees, partly cloudy"
23161,9,det,2015-04-11,256,201500064,6,cle,4:10 PM,"53 degrees, sunny"
36833,2,hou,2015-04-11,198,201500065,6,tex,7:08 PM,"71 degrees, partly cloudy"
44154,6,kca,2015-04-11,161,201500066,4,ana,6:06 PM,"68 degrees, clear"
37636,0,lan,2015-04-11,156,201500067,6,ari,5:10 PM,"83 degrees, sunny"
22317,4,min,2015-04-11,174,201500068,5,cha,1:09 PM,"72 degrees, sunny"
36056,3,nyn,2015-04-11,145,201500069,5,atl,7:14 PM,"76 degrees, partly cloudy"
41108,0,pit,2015-04-11,146,201500070,6,mil,6:10 PM,"69 degrees, roof closed"
24355,5,sea,2015-04-11,219,201500071,4,oak,1:07 PM,"63 degrees, partly cloudy"
42823,2,sfn,2015-04-11,194,201500072,10,sdn,5:41 PM,"67 degrees, sunny"
41525,4,sln,2015-04-11,156,201500073,1,cin,1:11 PM,"56 degrees, sunny"
17830,2,tba,2015-04-11,152,201500074,0,mia,4:10 PM,"75 degrees, roof closed"
38897,1,tor,2015-04-11,154,201500075,7,bal,7:07 PM,"61 degrees, clear"
23740,2,was,2015-04-11,205,201500076,3,phi,7:06 PM,"61 degrees, clear"
43019,4,bos,2015-04-12,204,201500077,14,nya,8:08 PM,"54 degrees, clear"
41363,6,chn,2015-04-12,185,201500078,5,col,2:11 PM,"65 degrees, partly cloudy"
19555,8,det,2015-04-12,193,201500079,5,cle,1:10 PM,"60 degrees, sunny"
35276,6,hou,2015-04-12,264,201500080,4,tex,2:06 PM,"73 degrees, cloudy"
37060,9,kca,2015-04-12,176,201500081,2,ana,12:38 PM,"73 degrees, sunny"
29678,7,lan,2015-04-12,207,201500082,4,ari,1:10 PM,"77 degrees, partly cloudy"
23057,2,min,2015-04-12,176,201500083,6,cha,1:09 PM,"71 degrees, partly cloudy"
28192,4,nyn,2015-04-12,157,201500084,3,atl,1:36 PM,"63 degrees, cloudy"
39017,10,pit,2015-04-12,180,201500085,2,mil,1:11 PM,"70 degrees, roof closed"
32282,8,sea,2015-04-12,191,201500086,7,oak,1:07 PM,"67 degrees, partly cloudy"
40184,4,sfn,2015-04-12,181,201500087,6,sdn,1:11 PM,"67 degrees, sunny"
41446,7,sln,2015-04-12,243,201500088,5,cin,1:11 PM,"67 degrees, sunny"
20199,8,tba,2015-04-12,196,201500089,5,mia,1:10 PM,"74 degrees, roof closed"
32522,10,tor,2015-04-12,197,201500090,7,bal,1:39 PM,"60 degrees, sunny"
30094,4,was,2015-04-12,199,201500091,3,phi,1:38 PM,"62 degrees, sunny"
18401,6,ana,2015-04-13,197,201500092,3,tex,7:09 PM,"64 degrees, cloudy"
19538,8,ari,2015-04-13,182,201500093,4,sdn,7:11 PM,"64 degrees, partly cloudy"
26390,6,cin,2015-04-13,182,201500094,7,chn,7:05 PM,"62 degrees, partly cloudy"
42019,2,col,2015-04-13,178,201500095,0,sfn,1:41 PM,"63 degrees, partly cloudy"
39933,4,det,2015-04-13,151,201500096,5,pit,1:38 PM,"76 degrees, partly cloudy"
40123,12,kca,2015-04-13,170,201500097,3,min,3:16 PM,"61 degrees, partly cloudy"
13417,2,mia,2015-04-13,182,201500098,3,atl,8:02 PM,"67 degrees, overcast"
47875,5,mil,2015-04-13,181,201500099,4,sln,3:20 PM,"67 degrees, cloudy"
21633,6,nya,2015-04-13,189,201500100,5,bal,7:11 PM,"68 degrees, clear"
19279,8,oak,2015-04-13,171,201500101,1,hou,7:11 PM,"82 degrees, partly cloudy"
43947,0,phi,2015-04-13,173,201500102,2,nyn,1:14 PM,"63 degrees, sunny"
42202,5,sea,2015-04-13,184,201500103,6,lan,7:09 PM,"67 degrees, clear"
48414,2,tba,2015-04-13,150,201500104,1,tor,7:29 PM,"68 degrees, roof closed"
37203,4,was,2015-04-13,181,201500105,9,bos,3:13 PM,"69 degrees, partly cloudy"
21805,2,ana,2015-04-14,177,201500106,8,tex,7:07 PM,"60 degrees, cloudy"
20102,1,ari,2015-04-14,151,201500107,5,sdn,7:10 PM,"66 degrees, clear"
